Institute,Branch,Rank Category,Category,Gender,Opening Rank,Closing Rank
IIT  Patna,Electrical and Electronics Engineering,AI,ST,Gender-Neutral,805,876
IIT  Patna,Mathematics and Computing,AI,SC,Gender-Neutral,805,1187
IIT  Kharagpur,Biotechnology and Biochemical Engineering,AI,ST,Gender-Neutral,806,1002
IIT  Kanpur,Civil Engineering,AI,EWS,Gender-Neutral,806,1020
IIT  Kanpur,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,806,1430
IIT  Ropar,Mathematics and Computing,AI,SC,Gender-Neutral,807,930
IIT  Gandhinagar,Computer Science and Engineering,AI,OPEN,Gender-Neutral,811,1708
IIT  Roorkee,Mechanical Engineering,AI,SC,Gender-Neutral,813,1010
IIT  Bombay,Aerospace Engineering,AI,OPEN,Gender-Neutral,817,2394
IIT  Hyderabad,Materials Science and Metallurgical Engineering,AI,ST,Gender-Neutral,817,945
IIT  Ropar,Computer Science and Engineering,AI,EWS,Female-only ,818,1108
IIT  Madras,Chemical Engineering,AI,OBC-NCL,Gender-Neutral,820,2042
IIT  Indore,Computer Science and Engineering,AI,OPEN,Gender-Neutral,823,1389
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,ST,Female-only ,823,823
IIT  Delhi,Mathematics and Computing,AI,OPEN,Female-only ,824,1240
IIT  Indore,Mechanical Engineering,AI,EWS,Gender-Neutral,824,1173
IIT  Mandi,Computer Science and Engineering,AI,EWS,Female-only ,825,1058
IIT  Delhi,Production and Industrial Engineering,AI,SC,Gender-Neutral,825,1335
IIT  Bhilai,Electrical Engineering,AI,ST,Gender-Neutral,826,1068
IIT  Gandhinagar,Computer Science and Engineering,AI,SC,Female-only ,828,828
IIT  BHU,Chemical Engineering,AI,ST,Gender-Neutral,828,973
IIT  Kanpur,Biological Sciences and Bioengineering,AI,ST,Gender-Neutral,829,1168
IIT  Guwahati,Data Science and Artificial Intelligence,AI,OPEN,Gender-Neutral,829,995
IIT  BHU,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only ,831,831
IIT  Jammu,Computer Science and Engineering,AI,EWS,Gender-Neutral,831,945
IIT  Madras,Aerospace Engineering,AI,OBC-NCL,Gender-Neutral,832,1655
IIT  Palakkad,Computer Science and Engineering,AI,ST,Female-only ,834,834
IIT  Roorkee,Energy Engineering,AI,ST,Gender-Neutral,835,835
IIT  Delhi,Textile Technology,AI,ST,Gender-Neutral,836,991
IIT  Hyderabad,Mechanical Engineering,AI,SC,Gender-Neutral,836,1116
IIT  Patna,Computer Science and Engineering,AI,SC,Female-only ,837,1887
IIT  Kharagpur,Metallurgical and Materials Engineering,AI,ST,Gender-Neutral,839,930
IIT  Delhi,Engineering and Computational Mechanics,AI,SC,Female-only ,840,840
IIT  Madras,Mechanical Engineering,AI,EWS,Female-only ,845,1385
IIT  Tirupati,Electrical Engineering,AI,ST,Gender-Neutral,845,951
IIT  Kharagpur,Electrical Engineering,AI,EWS,Female-only ,847,974
IIT  Guwahati,Data Science and Artificial Intelligence,AI,SC,Female-only ,847,847
IIT  Indore,Chemical Engineering,AI,ST,Gender-Neutral,848,922
IIT  Madras,Chemical Engineering,AI,ST,Female-only ,851,895
IIT  Mandi,Electrical Engineering,AI,EWS,Gender-Neutral,855,1188
IIT  Kanpur,Chemical Engineering,AI,SC,Gender-Neutral,855,1185
IIT  Kanpur,Materials Science and Engineering,AI,ST,Gender-Neutral,859,1080
IIT  Guwahati,Computer Science and Engineering,AI,OBC-NCL,Female-only ,862,950
IIT  Hyderabad,Engineering Science,AI,SC,Gender-Neutral,863,1125
IIT  Jodhpur,Artificial Intelligence and Data Science,AI,ST,Female-only ,863,863
IIT  Kanpur,Aerospace Engineering,AI,OBC-NCL,Gender-Neutral,863,1980
IIT  Roorkee,Civil Engineering,AI,EWS,Gender-Neutral,863,1154
IIT  Roorkee,Production and Industrial Engineering,AI,ST,Gender-Neutral,864,904
IIT  BHU,Mechanical Engineering,AI,EWS,Gender-Neutral,865,1152
IIT  Guwahati,Chemical Engineering,AI,EWS,Gender-Neutral,867,1046
IIT  Hyderabad,Electrical Engineering (IC Design and Technology),AI,EWS,Female-only ,868,868
IIT  Jodhpur,Electrical Engineering,AI,EWS,Gender-Neutral,869,1149
IIT  Guwahati,Chemical Science and Technology,AI,ST,Gender-Neutral,869,993
IIT  Mandi,Computer Science and Engineering,AI,ST,Female-only ,870,870
IIT  Dharwad,Electrical and Electronics Engineering,AI,ST,Gender-Neutral,872,906
IIT  Hyderabad,Electrical Engineering,AI,SC,Female-only ,873,1218
IIT  Delhi,Energy Engineering,AI,SC,Gender-Neutral,875,1092
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Female-only ,876,876
IIT  Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Gender-Neutral,877,931
IIT  Hyderabad,Computational Engineering,AI,SC,Female-only ,878,878
IIT  Delhi,Production and Industrial Engineering,AI,OBC-NCL,Gender-Neutral,879,2191
IIT  Bhilai,Computer Science and Engineering,AI,SC,Gender-Neutral,879,1021
IIT  BHU,Computer Science and Engineering,AI,OBC-NCL,Female-only ,880,1592
IIT  Hyderabad,Mechanical Engineering,AI,ST,Female-only ,881,881
IIT  Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,882,882
IIT  Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,883,883
IIT  Roorkee,Metallurgical and Materials Engineering,AI,ST,Gender-Neutral,885,958
IIT  Dharwad,Mathematics and Computing,AI,EWS,Gender-Neutral,885,1167
IIT  Hyderabad,Chemical Engineering,AI,EWS,Gender-Neutral,889,1021
IIT  Delhi,Engineering and Computational Mechanics,AI,OPEN,Gender-Neutral,890,1194
IIT  Roorkee,Production and Industrial Engineering,AI,EWS,Gender-Neutral,891,1048
IIT  Jammu,Mathematics and Computing,AI,ST,Gender-Neutral,892,1087
IIT  Palakkad,Electrical Engineering,AI,ST,Gender-Neutral,896,965
IIT  Bombay,Metallurgical Engineering and Materials Science,AI,SC,Gender-Neutral,901,1369
IIT  Indore,Mathematics and Computing,AI,EWS,Female-only ,901,901
IIT  Jodhpur,Civil and Infrastructure Engineering,AI,ST,Gender-Neutral,901,980
IIT  Roorkee,Chemical Engineering,AI,SC,Gender-Neutral,902,1264
IIT  Mandi,B.Tech in Mathematics and Computing,AI,SC,Gender-Neutral,904,1086
IIT  Gandhinagar,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,904,904
IIT  Madras,Engineering Physics,AI,ST,Gender-Neutral,908,1022
IIT  Gandhinagar,Artificial Intelligence,AI,OBC-NCL,Gender-Neutral,908,1115
IIT  Roorkee,Energy Engineering,AI,EWS,Gender-Neutral,909,1061
IIT  Bhubaneswar,Electronics and Communication Engineering,AI,ST,Female-only ,910,910
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,SC,Female-only ,912,912
IIT  Tirupati,Computer Science and Engineering,AI,EWS,Female-only ,913,913
IIT  Bhubaneswar,Electronics and Communication Engineering,AI,SC,Gender-Neutral,914,1239
IIT  Bhilai,Computer Science and Engineering,AI,EWS,Gender-Neutral,914,1018
IIT  Jammu,Civil Engineering,AI,ST,Gender-Neutral,914,1073
IIT  Guwahati,Electronics and Communication Engineering,AI,EWS,Female-only ,915,990
IIT  Guwahati,Chemical Science and Technology,AI,ST,Female-only ,916,916
IIT  BHU,Electronics Engineering,AI,ST,Female-only ,917,981
IIT  Bhubaneswar,Mechanical Engineering,AI,ST,Gender-Neutral,918,1041
IIT  Hyderabad,Mathematics and Computing,AI,OBC-NCL,Female-only ,918,918
IIT  Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female-only ,920,920
IIT  Patna,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,SC,Gender-Neutral,921,921
IIT  Gandhinagar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,923,1048
IIT  Jammu,Computer Science and Engineering,AI,SC,Gender-Neutral,923,1093
IIT  Kharagpur,Artificial Intelligence,AI,OBC-NCL,Female-only ,924,1109
IIT  Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,926,926
IIT  Guwahati,Electronics and Electrical Engineering,AI,OBC-NCL,Gender-Neutral,926,1040
IIT  Goa,Electrical Engineering,AI,ST,Gender-Neutral,926,961
IIT  Bombay,Chemical Engineering,AI,EWS,Female-only ,927,1438
IIT  Madras,Engineering Physics,AI,OPEN,Gender-Neutral,931,1858
IIT  Kharagpur,Mining Engineering,AI,ST,Gender-Neutral,933,1085
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,933,1772
IIT  Kharagpur,Manufacturing Science and Engineering,AI,EWS,Gender-Neutral,934,1328
IIT  Bombay,Environmental Science and Engineering,AI,EWS,Gender-Neutral,935,1060
IIT  Roorkee,Data Science and Artificial Intelligence,AI,OBC-NCL,Female-only ,936,1105
IIT  Patna,"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,941,941
IIT  Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,EWS,Gender-Neutral,942,942
IIT  Gandhinagar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,944,944
IIT  Guwahati,Mechanical Engineering,AI,ST,Female-only ,947,1436
IIT  Goa,Mathematics and Computing,AI,EWS,Gender-Neutral,950,1138
IIT  Madras,Civil Engineering,AI,EWS,Gender-Neutral,951,1111
IIT  Kharagpur,Manufacturing Science and Engineering,AI,ST,Gender-Neutral,952,1034
IIT  Guwahati,Mathematics and Computing,AI,SC,Female-only ,952,1164
IIT  Bombay,Chemical Engineering,AI,OBC-NCL,Gender-Neutral,953,1338
IIT  Gandhinagar,Mechanical Engineering,AI,EWS,Gender-Neutral,953,1217
IIT  Patna,Mechanical Engineering,AI,ST,Gender-Neutral,953,1114
IIT  Kanpur,Materials Science and Engineering,AI,EWS,Gender-Neutral,955,1258
IIT  Gandhinagar,Electrical Engineering,AI,ST,Female-only ,955,955
IIT  Delhi,Textile Technology,AI,EWS,Gender-Neutral,956,1215
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only ,958,1061
IIT  Delhi,Chemical Engineering,AI,OBC-NCL,Gender-Neutral,960,1303
IIT  Kharagpur,Civil Engineering,AI,ST,Female-only ,960,1158
IIT  Delhi,Biotechnology and Biochemical Engineering,AI,EWS,Gender-Neutral,961,1040
IIT  Delhi,Electrical Engineering,AI,OBC-NCL,Female-only ,966,1549
IIT  Bombay,Mechanical Engineering,AI,EWS,Female-only ,968,1319
IIT  Jodhpur,Mechanical Engineering,AI,ST,Gender-Neutral,968,1071
IIT  Goa,Computer Science and Engineering,AI,SC,Female-only ,968,968
IIT  Mandi,B.Tech in Microelectronics & VLSI,AI,EWS,Gender-Neutral,969,1093
IIT  Bombay,Engineering Physics,AI,OBC-NCL,Gender-Neutral,970,1578
IIT  (ISM) Dhanbad,Electrical Engineering,AI,EWS,Gender-Neutral,970,1121
IIT  BHU,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,970,1006
IIT  Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,971,1329
IIT  Delhi,Chemical Engineering,AI,SC,Female-only ,974,1348
IIT  Dharwad,Computer Science and Engineering,AI,SC,Gender-Neutral,975,1295
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,OBC-NCL,Female-only ,977,1672
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only ,979,979
IIT  Kanpur,Civil Engineering,AI,SC,Gender-Neutral,982,1509
IIT  Mandi,Data Science and Engineering,AI,ST,Female-only ,983,983
IIT  Delhi,Mechanical Engineering,AI,EWS,Female-only ,985,1114
IIT  Roorkee,Electronics and Communication Engineering,AI,OPEN,Gender-Neutral,987,1424
IIT  Gandhinagar,Artificial Intelligence,AI,SC,Female-only ,989,989
IIT  Patna,Civil Engineering,AI,ST,Gender-Neutral,989,1110
IIT  Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,EWS,Gender-Neutral,991,991
IIT  Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,ST,Gender-Neutral,992,1009
IIT  Patna,Computer Science and Engineering,AI,EWS,Female-only ,994,1301
IIT  Tirupati,Civil Engineering,AI,ST,Gender-Neutral,994,994
IIT  Jodhpur,Chemical Engineering,AI,ST,Gender-Neutral,995,1120
IIT  Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,995,995
IIT  Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,998,1133
IIT  Patna,Electrical and Electronics Engineering,AI,EWS,Gender-Neutral,998,1132
IIT  Delhi,Engineering and Computational Mechanics,AI,EWS,Female-only ,1000,1000
IIT  Tirupati,Mechanical Engineering,AI,ST,Gender-Neutral,1000,1117
IIT  Madras,Engineering Physics,AI,SC,Gender-Neutral,1003,1326
IIT  Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,ST,Gender-Neutral,1003,1137
IIT  Hyderabad,Engineering Physics,AI,EWS,Gender-Neutral,1004,1180
IIT  Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,ST,Gender-Neutral,1005,1005
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only ,1006,1877
IIT  Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1007,1036
IIT  Guwahati,Engineering Physics,AI,EWS,Gender-Neutral,1007,1287
IIT  Bhubaneswar,Electrical Engineering,AI,EWS,Gender-Neutral,1013,1261
IIT  BHU,Electrical Engineering,AI,SC,Female-only ,1013,2086
IIT  Gandhinagar,Integrated Circuit Design & Technology,AI,ST,Gender-Neutral,1014,1069
IIT  Gandhinagar,Integrated Circuit Design & Technology,AI,SC,Gender-Neutral,1015,1558
IIT  Delhi,Engineering Physics,AI,ST,Female-only ,1016,1016
IIT  Dharwad,Civil and Infrastructure Engineering,AI,ST,Gender-Neutral,1017,1147
IIT  Madras,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,1019,1263
IIT  Gandhinagar,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only ,1021,1021
IIT  Hyderabad,Electrical Engineering,AI,OPEN,Gender-Neutral,1022,2105
IIT  Hyderabad,Engineering Physics,AI,ST,Gender-Neutral,1024,1066
IIT  Bhubaneswar,Computer Science and Engineering,AI,EWS,Female-only ,1025,1025
IIT  Roorkee,Engineering Physics,AI,ST,Gender-Neutral,1025,1118
IIT  BHU,Electronics Engineering,AI,OBC-NCL,Gender-Neutral,1027,1351
IIT  Hyderabad,Engineering Science,AI,ST,Female-only ,1028,1028
IIT  Gandhinagar,Electrical Engineering,AI,SC,Gender-Neutral,1028,1354
IIT  Roorkee,Civil Engineering,AI,ST,Female-only ,1029,1122
IIT  Kharagpur,Civil Engineering,AI,EWS,Gender-Neutral,1032,1214
IIT  Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,SC,Female-only ,1035,1035
IIT  Mandi,Engineering Physics,AI,ST,Gender-Neutral,1037,1342
IIT  Jammu,Electrical Engineering,AI,ST,Gender-Neutral,1039,1155
IIT  Hyderabad,Biomedical Engineering,AI,ST,Gender-Neutral,1040,1197
IIT  Indore,Mathematics and Computing,AI,SC,Female-only ,1041,1041
IIT  Bombay,Industrial Engineering and Operations Research,AI,OPEN,Gender-Neutral,1042,1726
IIT  Kanpur,Chemical Engineering,AI,ST,Female-only ,1043,1062
IIT  Hyderabad,Civil Engineering,AI,EWS,Gender-Neutral,1044,1331
IIT  Madras,Civil Engineering,AI,SC,Gender-Neutral,1044,1324
IIT  Dharwad,Computer Science and Engineering,AI,ST,Female-only ,1044,1044
IIT  Hyderabad,Computational Engineering,AI,OPEN,Gender-Neutral,1046,1790
IIT  Kanpur,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,1046,1392
IIT  Bombay,Engineering Physics,AI,ST,Female-only ,1047,1047
IIT  Bombay,Aerospace Engineering,AI,EWS,Female-only ,1050,1409
IIT  Bombay,Industrial Engineering and Operations Research,AI,SC,Female-only ,1052,1052
IIT  Indore,Computer Science and Engineering,AI,OBC-NCL,Female-only ,1053,1468
IIT  Kharagpur,Agricultural and Food Engineering,AI,ST,Gender-Neutral,1053,1129
IIT  Palakkad,Data Science and Engineering,AI,EWS,Gender-Neutral,1054,1176
IIT  Delhi,Civil Engineering,AI,OBC-NCL,Gender-Neutral,1056,2063
IIT  Patna,Artificial Intelligence and Data Science,AI,SC,Female-only ,1056,1056
IIT  Madras,Biological Engineering,AI,ST,Gender-Neutral,1057,1090
IIT  Mandi,Computer Science and Engineering,AI,SC,Female-only ,1061,1732
IIT  (ISM) Dhanbad,Electrical Engineering,AI,SC,Gender-Neutral,1062,1595
IIT  Goa,Mechanical Engineering,AI,ST,Gender-Neutral,1065,1151
IIT  BHU,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,1073,1073
IIT  Hyderabad,Biotechnology and Bioinformatics,AI,ST,Gender-Neutral,1074,1099
IIT  Gandhinagar,Chemical Engineering,AI,ST,Gender-Neutral,1075,1146
IIT  Bombay,Civil Engineering,AI,OBC-NCL,Gender-Neutral,1076,1979
IIT  Guwahati,Energy Engineering,AI,EWS,Gender-Neutral,1076,1109
IIT  Indore,Space Sciences and Engineering,AI,EWS,Gender-Neutral,1077,1307
IIT  BHU,Chemical Engineering,AI,EWS,Gender-Neutral,1078,1314
IIT  Madras,Artificial Intelligence and Data Analytics,AI,OPEN,Female-only ,1079,1379
IIT  Roorkee,Electrical Engineering,AI,SC,Female-only ,1079,1402
IIT  (ISM) Dhanbad,Chemical Engineering,AI,ST,Gender-Neutral,1081,1152
IIT  Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",AI,SC,Gender-Neutral,1082,2491
IIT  (ISM) Dhanbad,Mining Engineering,AI,ST,Gender-Neutral,1082,1171
IIT  Guwahati,Chemical Science and Technology,AI,EWS,Gender-Neutral,1082,1198
IIT  Mandi,B.Tech in Microelectronics & VLSI,AI,ST,Gender-Neutral,1084,1096
IIT  Madras,Naval Architecture and Ocean Engineering,AI,EWS,Gender-Neutral,1084,1568
IIT  Bhilai,Data Science and Artificial Intelligence,AI,EWS,Gender-Neutral,1086,1201
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,OPEN,Gender-Neutral,1089,1512
IIT  Dharwad,Mathematics and Computing,AI,SC,Gender-Neutral,1090,1479
IIT  Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",AI,ST,Gender-Neutral,1094,1755
IIT  Delhi,Civil Engineering,AI,SC,Female-only ,1095,1937
IIT  Jammu,Mathematics and Computing,AI,EWS,Gender-Neutral,1095,1191
IIT  Roorkee,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,1097,1784
IIT  Ropar,Electrical Engineering,AI,SC,Gender-Neutral,1099,1593
IIT  Delhi,Biotechnology and Biochemical Engineering,AI,SC,Gender-Neutral,1100,1548
IIT  Bhubaneswar,Metallurgical and Materials Engineering,AI,ST,Gender-Neutral,1102,1223
IIT  Kharagpur,Instrumentation Engineering,AI,OBC-NCL,Gender-Neutral,1103,1302
IIT  Bhubaneswar,Electrical Engineering,AI,SC,Gender-Neutral,1105,1762
IIT  BHU,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,1105,1105
IIT  Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,1106,1291
IIT  BHU,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,1107,1544
IIT  Kharagpur,Industrial and Systems Engineering,AI,OBC-NCL,Gender-Neutral,1112,2307
IIT  BHU,Metallurgical Engineering,AI,ST,Gender-Neutral,1115,1296
IIT  Ropar,Artificial Intelligence and Data Engineering,AI,OBC-NCL,Gender-Neutral,1116,1308
IIT  Jodhpur,Computer Science and Engineering,AI,EWS,Female-only ,1117,1150
IIT  BHU,Electronics Engineering,AI,EWS,Female-only ,1119,1262
IIT  Palakkad,Mechanical Engineering,AI,ST,Gender-Neutral,1119,1187
IIT  BHU,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,1120,1510
IIT  Roorkee,Engineering Physics,AI,SC,Gender-Neutral,1122,1642
IIT  Bombay,Chemical Engineering,AI,SC,Female-only ,1123,1498
IIT  Patna,Artificial Intelligence and Data Science,AI,ST,Female-only ,1125,1125
IIT  Kharagpur,"Physics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1126,1336
IIT  Ropar,Chemical Engineering,AI,ST,Gender-Neutral,1127,1238
IIT  Kharagpur,Ocean Engineering and Naval Architecture,AI,ST,Gender-Neutral,1128,1192
IIT  Guwahati,Engineering Physics,AI,ST,Gender-Neutral,1130,1216
IIT  Guwahati,Electronics and Electrical Engineering,AI,EWS,Female-only ,1131,1131
IIT  Kanpur,"Physics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1135,1436
IIT  Patna,Chemical Engineering,AI,ST,Gender-Neutral,1135,1245
IIT  Patna,Mathematics and Computing,AI,OBC-NCL,Gender-Neutral,1136,1939
IIT  Delhi,Energy Engineering,AI,EWS,Female-only ,1137,1137
IIT  Kharagpur,Mechanical Engineering,AI,OBC-NCL,Gender-Neutral,1137,1721
IIT  Delhi,Mechanical Engineering,AI,SC,Female-only ,1140,1329
IIT  BHU,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,1140,1140
IIT  BHU,Mechanical Engineering,AI,SC,Gender-Neutral,1141,1654
IIT  Madras,Biological Engineering,AI,EWS,Gender-Neutral,1142,1384
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,SC,Female-only ,1148,1341
IIT  Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,SC,Female-only ,1149,1405
IIT  Madras,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,ST,Gender-Neutral,1149,1149
IIT  Guwahati,Data Science and Artificial Intelligence,AI,OBC-NCL,Female-only ,1151,1186
IIT  Palakkad,Civil Engineering,AI,ST,Gender-Neutral,1153,1153
IIT  Bombay,Metallurgical Engineering and Materials Science,AI,ST,Female-only ,1154,1251
IIT  BHU,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,1157,1350
IIT  Ropar,Computer Science and Engineering,AI,OPEN,Gender-Neutral,1158,2379
IIT  Delhi,Production and Industrial Engineering,AI,ST,Female-only ,1159,1159
IIT  Patna,"B.Tech (Artificial Intelligence and Data Science) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,SC,Gender-Neutral,1160,1160
IIT  Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",AI,ST,Gender-Neutral,1162,1371
IIT  Gandhinagar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only ,1163,1163
IIT  Hyderabad,Engineering Science,AI,OBC-NCL,Gender-Neutral,1166,1984
IIT  Bhilai,Mechanical Engineering,AI,ST,Gender-Neutral,1169,1230
IIT  Kharagpur,Civil Engineering,AI,SC,Female-only ,1170,1474
IIT  Kharagpur,Industrial and Systems Engineering,AI,SC,Gender-Neutral,1171,1653
IIT  Kharagpur,Computer Science and Engineering,AI,OPEN,Female-only ,1172,1661
IIT  (ISM) Dhanbad,Computer Science and Engineering,AI,EWS,Female-only ,1172,1361
IIT  Indore,Engineering Physics,AI,ST,Gender-Neutral,1173,1173
IIT  (ISM) Dhanbad,Mining Machinery Engineering,AI,ST,Gender-Neutral,1174,1338
IIT  Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1175,1338
IIT  Indore,Metallurgical Engineering and Materials Science,AI,ST,Gender-Neutral,1175,1225
IIT  Kanpur,"Physics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1176,1277
IIT  Hyderabad,Industrial Chemistry,AI,ST,Gender-Neutral,1177,1240
IIT  Guwahati,Civil Engineering,AI,EWS,Gender-Neutral,1178,1300
IIT  Bhubaneswar,Electrical Engineering,AI,ST,Female-only ,1179,1179
IIT  Guwahati,Mathematics and Computing,AI,OBC-NCL,Female-only ,1179,1649
IIT  Gandhinagar,Artificial Intelligence,AI,EWS,Female-only ,1182,1182
IIT  Patna,"B.Tech (Computer Science and Engineering) - MBA in Digital Business Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,OBC-NCL,Gender-Neutral,1183,1183
IIT  Roorkee,Biosciences and Bioengineering,AI,ST,Gender-Neutral,1184,1229
IIT  Roorkee,Metallurgical and Materials Engineering,AI,EWS,Gender-Neutral,1185,1290
IIT  Patna,"B.Tech (Electronics and Communication Engineering) - MBA in Hospital and Healthcare Management (IIM Bodh Gaya) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,EWS,Gender-Neutral,1186,1186
IIT  BHU,Mining Engineering,AI,ST,Gender-Neutral,1186,1300
IIT  Patna,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,ST,Gender-Neutral,1188,1188
IIT  Tirupati,Engineering Physics,AI,ST,Gender-Neutral,1190,1190
IIT  Bhilai,Data Science and Artificial Intelligence,AI,SC,Gender-Neutral,1191,1332
IIT  Patna,"B. Tech. (EEE)-M. Tech. in (Power &. Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",AI,EWS,Gender-Neutral,1192,1192
IIT  Indore,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,1193,1648
IIT  Patna,"B.Tech (Mechanical Engineering) - MBA (IIM Mumbai) (5 Years, Bachelor of Technology and MBA (Dual Degree))",AI,ST,Gender-Neutral,1194,1194
IIT  Guwahati,Biosciences and Bioengineering,AI,ST,Gender-Neutral,1198,1318
IIT  Gandhinagar,Civil Engineering,AI,ST,Female-only ,1199,1199
IIT  Kharagpur,Industrial and Systems Engineering,AI,ST,Female-only ,1200,1200
IIT  Bhilai,Mechatronics Engineering,AI,ST,Gender-Neutral,1204,1327
IIT  Jammu,Mechanical Engineering,AI,ST,Gender-Neutral,1208,1236
IIT  Patna,Artificial Intelligence and Data Science,AI,OBC-NCL,Gender-Neutral,1209,1661
IIT  Patna,Electronics and Communication Engineering,AI,SC,Gender-Neutral,1209,1312
