Institute,Branch,Rank Category,Category,Gender,Opening Rank,Closing Rank
IIT  BHU,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,27,40
IIT  Delhi,Electrical Engineering (Power and Automation),AI,OBC-NCL (PwD),Gender-Neutral,28,28
IIT  Kanpur,Computer Science and Engineering,AI,EWS,Gender-Neutral,28,51
IIT  Jodhpur,Computer Science and Engineering,AI,EWS (PwD),Gender-Neutral,29,29
IIT  Roorkee,Electronics and Communication Engineering,AI,OBC-NCL (PwD),Gender-Neutral,29,29
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,EWS (PwD),Gender-Neutral,30,30
IIT  Kanpur,Computer Science and Engineering,AI,ST,Gender-Neutral,30,54
IIT  Madras,Artificial Intelligence and Data Analytics,AI,OBC-NCL (PwD),Gender-Neutral,30,30
IIT  Bhubaneswar,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,31,31
IIT  Guwahati,Computer Science and Engineering,AI,EWS (PwD),Female-only ,31,31
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,OBC-NCL (PwD),Gender-Neutral,32,25P
IIT  Hyderabad,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,32,32
IIT  Kharagpur,Computer Science and Engineering,AI,ST,Gender-Neutral,33,67
IIT  Bombay,Electrical Engineering,AI,SC,Gender-Neutral,34,171
IIT  Delhi,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,34,54
IIT  Delhi,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,35,35
IIT  Bombay,Electrical Engineering,AI,ST,Gender-Neutral,36,79
IIT  Madras,Computer Science and Engineering,AI,SC,Gender-Neutral,36,72
IIT  Delhi,Mathematics and Computing,AI,EWS,Gender-Neutral,38,74
IIT  Madras,Artificial Intelligence and Data Analytics,AI,ST,Gender-Neutral,38,83
IIT  Delhi,Computer Science and Engineering,AI,OPEN,Female-only ,39,556
IIT  Delhi,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,39,89
IIT  Madras,Electrical Engineering,AI,ST,Gender-Neutral,39,149
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,40,54
IIT  Bombay,Civil Engineering,AI,ST,Gender-Neutral,41,331
IIT  Delhi,Mechanical Engineering,AI,OBC-NCL (PwD),Gender-Neutral,41,41
IIT  Roorkee,Computer Science and Engineering,AI,SC,Gender-Neutral,41,144
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Gender-Neutral,42,42
IIT  Bombay,Computer Science and Engineering,AI,EWS,Female-only ,43,79
IIT  Delhi,Engineering and Computational Mechanics,AI,OBC-NCL (PwD),Gender-Neutral,43,43
IIT  Madras,Artificial Intelligence and Data Analytics,AI,OPEN (PwD),Gender-Neutral,43,43
IIT  Bombay,Aerospace Engineering,AI,OPEN (PwD),Gender-Neutral,44,44
IIT  BHU,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Gender-Neutral,45,45
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,46,80
IIT  Indore,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,47,57
IIT  (ISM) Dhanbad,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,47,39P
IIT  Hyderabad,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,48,48
IIT  Madras,Electrical Engineering,AI,OBC-NCL (PwD),Gender-Neutral,48,51
IIT  Roorkee,Data Science and Artificial Intelligence,AI,OPEN (PwD),Gender-Neutral,49,49
IIT  Delhi,Mathematics and Computing,AI,ST,Gender-Neutral,50,97
IIT  Delhi,Computer Science and Engineering,AI,ST,Female-only ,51,52
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,52,52
IIT  Kharagpur,Computer Science and Engineering,AI,EWS,Gender-Neutral,53,67
IIT  Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,53,53
IIT  Hyderabad,Computer Science and Engineering,AI,ST,Gender-Neutral,53,82
IIT  Kanpur,Electrical Engineering,AI,OBC-NCL (PwD),Gender-Neutral,53,61
IIT  Delhi,Mathematics and Computing,AI,ST,Female-only ,55,55
IIT  Kanpur,Computer Science and Engineering,AI,SC,Gender-Neutral,55,96
IIT  Delhi,Electrical Engineering,AI,SC,Gender-Neutral,56,230
IIT  Gandhinagar,Computer Science and Engineering,AI,OBC-NCL (PwD),Female-only ,56,56
IIT  Roorkee,Computer Science and Engineering,AI,EWS,Gender-Neutral,56,90
IIT  Roorkee,Computer Science and Engineering,AI,ST,Gender-Neutral,56,75
IIT  Bombay,Electrical Engineering,AI,EWS,Gender-Neutral,57,116
IIT  Hyderabad,Electrical Engineering,AI,OBC-NCL (PwD),Gender-Neutral,58,58
IIT  Bhubaneswar,Electronics and Communication Engineering,AI,OPEN (PwD),Gender-Neutral,59,59
IIT  Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL (PwD),Gender-Neutral,60,60
IIT  Bombay,Mechanical Engineering,AI,ST,Gender-Neutral,61,309
IIT  Kanpur,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,61,132
IIT  Bombay,Aerospace Engineering,AI,OBC-NCL (PwD),Gender-Neutral,62,62
IIT  Bombay,Industrial Engineering and Operations Research,AI,OPEN (PwD),Gender-Neutral,63,63
IIT  Ropar,Computer Science and Engineering,AI,OBC-NCL (PwD),Gender-Neutral,63,63
IIT  Bombay,Chemical Engineering,AI,OBC-NCL (PwD),Gender-Neutral,64,64
IIT  Roorkee,Electronics and Communication Engineering,AI,OPEN (PwD),Gender-Neutral,64,69
IIT  Bombay,Computer Science and Engineering,AI,OBC-NCL,Female-only ,66,274
IIT  Kharagpur,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,66,66
IIT  Guwahati,Mathematics and Computing,AI,OPEN (PwD),Gender-Neutral,67,67
IIT  Delhi,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,68,68
IIT  Madras,Computer Science and Engineering,AI,ST,Female-only ,68,68
IIT  Delhi,Electrical Engineering (Power and Automation),AI,OPEN (PwD),Gender-Neutral,70,70
IIT  Gandhinagar,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,71,71
IIT  Guwahati,Computer Science and Engineering,AI,ST,Gender-Neutral,74,100
IIT  Guwahati,Electronics and Communication Engineering,AI,OPEN (PwD),Gender-Neutral,74,92
IIT  Delhi,Computer Science and Engineering,AI,SC,Female-only ,76,102
IIT  Jodhpur,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,76,76
IIT  Madras,Computer Science and Engineering,AI,OPEN,Gender-Neutral,76,159
IIT  Bombay,Electrical Engineering,AI,OPEN (PwD),Female-only ,77,77
IIT  BHU,Computer Science and Engineering,AI,ST,Gender-Neutral,77,163
IIT  Bombay,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,78,152
IIT  Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,78,84
IIT  Madras,Artificial Intelligence and Data Analytics,AI,EWS,Gender-Neutral,80,104
IIT  Indore,Mathematics and Computing,AI,OPEN (PwD),Gender-Neutral,83,83
IIT  Bombay,Electrical Engineering,AI,ST,Female-only ,84,176
IIT  Delhi,Mathematics and Computing,AI,SC,Gender-Neutral,85,164
IIT  (ISM) Dhanbad,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,85,125
IIT  Madras,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,87,94
IIT  Guwahati,Computer Science and Engineering,AI,EWS,Gender-Neutral,87,128
IIT  Hyderabad,Artificial Intelligence,AI,ST,Gender-Neutral,88,89
IIT  Kanpur,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,88,117
IIT  Delhi,Mathematics and Computing,AI,OPEN (PwD),Female-only ,90,90
IIT  Kharagpur,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,91,209
IIT  Hyderabad,Computer Science and Engineering,AI,EWS,Gender-Neutral,91,112
IIT  Delhi,Mathematics and Computing,AI,OBC-NCL,Gender-Neutral,93,218
IIT  Hyderabad,Computer Science and Engineering,AI,SC,Gender-Neutral,93,182
IIT  Roorkee,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,93,93
IIT  Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,95,95
IIT  Roorkee,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,96,148
IIT  Kanpur,Electrical Engineering,AI,ST,Gender-Neutral,98,203
IIT  Delhi,Electrical Engineering (Power and Automation),AI,ST,Gender-Neutral,99,159
IIT  Roorkee,Data Science and Artificial Intelligence,AI,EWS,Gender-Neutral,99,132
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,100,100
IIT  Roorkee,Data Science and Artificial Intelligence,AI,ST,Gender-Neutral,101,103
IIT  Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,105,105
IIT  Madras,Electrical Engineering,AI,EWS,Gender-Neutral,105,178
IIT  Hyderabad,Computer Science and Engineering,AI,ST,Female-only ,107,107
IIT  Kanpur,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,107,128
IIT  Delhi,Computer Science and Engineering,AI,EWS,Female-only ,108,145
IIT  Gandhinagar,Artificial Intelligence,AI,OPEN (PwD),Gender-Neutral,108,108
IIT  Guwahati,Electronics and Electrical Engineering,AI,ST,Gender-Neutral,108,328
IIT  Madras,Computer Science and Engineering,AI,EWS,Female-only ,109,129
IIT  Roorkee,Electronics and Communication Engineering,AI,ST,Gender-Neutral,109,217
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,ST,Gender-Neutral,110,219
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,111,209
IIT  Kharagpur,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,112,19P
IIT  Indore,Computer Science and Engineering,AI,ST,Gender-Neutral,113,168
IIT  Hyderabad,Artificial Intelligence,AI,EWS,Gender-Neutral,114,127
IIT  Madras,Electrical Engineering,AI,SC,Gender-Neutral,114,378
IIT  Delhi,Mechanical Engineering,AI,SC,Gender-Neutral,116,500
IIT  Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,117,170
IIT  Delhi,Electrical Engineering,AI,EWS,Gender-Neutral,118,156
IIT  Delhi,Mathematics and Computing,AI,OPEN,Gender-Neutral,118,332
IIT  Madras,Artificial Intelligence and Data Analytics,AI,SC,Gender-Neutral,119,198
IIT  Guwahati,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,119,119
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,120,169
IIT  Kharagpur,Artificial Intelligence,AI,EWS,Gender-Neutral,120,138
IIT  Kanpur,Computer Science and Engineering,AI,OPEN,Gender-Neutral,120,252
IIT  Madras,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,120,156P
IIT  Madras,Electrical Engineering,AI,SC,Female-only ,121,563
IIT  BHU,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,121,121
IIT  Madras,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,122,407
IIT  Ropar,Artificial Intelligence and Data Engineering,AI,OPEN (PwD),Gender-Neutral,122,122
IIT  Kharagpur,Artificial Intelligence,AI,ST,Gender-Neutral,123,135
IIT  Hyderabad,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,123,302
IIT  Patna,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,124,124
IIT  Roorkee,Electrical Engineering,AI,ST,Gender-Neutral,124,298
IIT  Gandhinagar,Artificial Intelligence,AI,ST,Gender-Neutral,125,249
IIT  Delhi,Chemical Engineering,AI,SC,Gender-Neutral,126,655
IIT  Ropar,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,126,136
IIT  Kanpur,Computer Science and Engineering,AI,ST,Female-only ,127,141
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,128,204
IIT  Tirupati,Computer Science and Engineering,AI,ST,Gender-Neutral,129,492
IIT  Bombay,Chemical Engineering,AI,OPEN (PwD),Gender-Neutral,130,153
IIT  Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,130,222
IIT  Bombay,Electrical Engineering,AI,OBC-NCL,Gender-Neutral,131,325
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,131,221
IIT  Madras,Artificial Intelligence and Data Analytics,AI,OPEN,Gender-Neutral,132,419
IIT  Hyderabad,Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,133,133
IIT  Kanpur,Computer Science and Engineering,AI,SC,Female-only ,133,397
IIT  Guwahati,Computer Science and Engineering,AI,SC,Gender-Neutral,134,181
IIT  Guwahati,Data Science and Artificial Intelligence,AI,EWS,Gender-Neutral,134,157
IIT  Bombay,Aerospace Engineering,AI,SC,Gender-Neutral,136,678
IIT  Madras,Artificial Intelligence and Data Analytics,AI,OBC-NCL,Gender-Neutral,137,207
IIT  Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",AI,OPEN (PwD),Gender-Neutral,137,137
IIT  Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,139,139
IIT  Madras,Naval Architecture and Ocean Engineering,AI,ST,Female-only ,139,139
IIT  Delhi,Chemical Engineering,AI,OPEN (PwD),Gender-Neutral,140,140
IIT  Guwahati,Data Science and Artificial Intelligence,AI,ST,Gender-Neutral,140,160
IIT  Bombay,Civil Engineering,AI,OPEN (PwD),Gender-Neutral,142,151
IIT  Bombay,Mechanical Engineering,AI,SC,Female-only ,142,1066
IIT  BHU,Computer Science and Engineering,AI,EWS,Gender-Neutral,142,187
IIT  Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,144,144
IIT  Kanpur,Aerospace Engineering,AI,ST,Gender-Neutral,146,681
IIT  Hyderabad,Mathematics and Computing,AI,EWS,Gender-Neutral,147,158
IIT  Madras,Civil Engineering,AI,OPEN (PwD),Gender-Neutral,147,282P
IIT  Kharagpur,Civil Engineering,AI,OPEN (PwD),Gender-Neutral,149,149
IIT  Kanpur,Computer Science and Engineering,AI,EWS,Female-only ,150,294
IIT  Madras,Mechanical Engineering,AI,ST,Gender-Neutral,150,369
IIT  BHU,Electronics Engineering,AI,OPEN (PwD),Gender-Neutral,150,163
IIT  Kharagpur,Computer Science and Engineering,AI,SC,Female-only ,151,414
IIT  Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,151,254
IIT  Indore,Computer Science and Engineering,AI,ST,Female-only ,154,154
IIT  Kharagpur,Industrial and Systems Engineering,AI,OPEN (PwD),Gender-Neutral,155,155
IIT  Gandhinagar,Computer Science and Engineering,AI,ST,Gender-Neutral,155,207
IIT  Bombay,Engineering Physics,AI,OPEN (PwD),Gender-Neutral,156,156
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,SC,Gender-Neutral,157,390
IIT  Guwahati,Electronics and Electrical Engineering,AI,OPEN (PwD),Gender-Neutral,157,157
IIT  Delhi,Civil Engineering,AI,OPEN (PwD),Gender-Neutral,159,159
IIT  Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,160,207
IIT  Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,161,267
IIT  Guwahati,Mathematics and Computing,AI,EWS,Gender-Neutral,161,180
IIT  Delhi,Electrical Engineering (Power and Automation),AI,OPEN (PwD),Female-only ,162,162
IIT  Delhi,Electrical Engineering (Power and Automation),AI,EWS,Gender-Neutral,162,214
IIT  Indore,Computer Science and Engineering,AI,EWS,Gender-Neutral,163,218
IIT  Bombay,Mechanical Engineering,AI,EWS,Gender-Neutral,164,367
IIT  Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,165,185
IIT  Roorkee,Computer Science and Engineering,AI,OBC-NCL,Gender-Neutral,165,236
IIT  Kharagpur,Artificial Intelligence,AI,SC,Gender-Neutral,166,243
IIT  Kharagpur,Instrumentation Engineering,AI,OPEN (PwD),Gender-Neutral,167,167
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only ,169,169
IIT  Kanpur,"Economics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,169,169
IIT  Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Female-only ,171,171
IIT  Kharagpur,Computer Science and Engineering,AI,EWS,Female-only ,171,306
IIT  Bhubaneswar,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,172,172
IIT  Madras,Aerospace Engineering,AI,ST,Gender-Neutral,173,478
IIT  Patna,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,173,36P
IIT  Roorkee,Electronics and Communication Engineering,AI,SC,Gender-Neutral,174,398
IIT  Mandi,Computer Science and Engineering,AI,OPEN (PwD),Gender-Neutral,178,178
IIT  Hyderabad,Mathematics and Computing,AI,ST,Gender-Neutral,178,178
IIT  BHU,Electronics Engineering,AI,OPEN (PwD),Female-only ,179,179
IIT  Patna,Mathematics and Computing,AI,OPEN (PwD),Gender-Neutral,180,180
IIT  Roorkee,Electronics and Communication Engineering,AI,EWS,Gender-Neutral,181,265
IIT  Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,182,343
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,183,199
IIT  Kharagpur,Computer Science and Engineering,AI,ST,Female-only ,183,206
IIT  Bombay,Aerospace Engineering,AI,ST,Gender-Neutral,184,501
IIT  Bombay,Energy Engineering,AI,OPEN (PwD),Gender-Neutral,184,184
IIT  Kharagpur,Electronics and Electrical Communication Engineering,AI,EWS,Gender-Neutral,185,228
IIT  Kanpur,Mechanical Engineering,AI,OPEN (PwD),Gender-Neutral,186,34P
IIT  Delhi,Electrical Engineering,AI,ST,Female-only ,190,205
IIT  Delhi,Engineering and Computational Mechanics,AI,OBC-NCL,Gender-Neutral,190,640
IIT  Bombay,Mechanical Engineering,AI,SC,Gender-Neutral,191,476
IIT  Roorkee,Electrical Engineering,AI,OPEN (PwD),Female-only ,191,191
IIT  Roorkee,Computer Science and Engineering,AI,ST,Female-only ,192,229
IIT  BHU,Computer Science and Engineering,AI,SC,Gender-Neutral,192,262
IIT  Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,193,193
IIT  Kanpur,Electrical Engineering,AI,EWS,Gender-Neutral,193,259
IIT  Roorkee,Data Science and Artificial Intelligence,AI,SC,Gender-Neutral,195,226
IIT  Guwahati,Mathematics and Computing,AI,ST,Gender-Neutral,195,227
IIT  Bombay,Electrical Engineering,AI,SC,Female-only ,196,368
IIT  Kharagpur,Artificial Intelligence,AI,OPEN (PwD),Female-only ,196,104P
IIT  Bhubaneswar,Computer Science and Engineering,AI,OPEN (PwD),Female-only ,197,197
IIT  Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,197,274
IIT  Bombay,Engineering Physics,AI,OPEN,Gender-Neutral,197,1719
IIT  (ISM) Dhanbad,Computer Science and Engineering,AI,ST,Gender-Neutral,197,304
